City,Seed,C1_RMSE,C2_RMSE,Gain_pct,C1_MAE,C2_MAE,Gate,Q,Gamma,Alpha
lucknow,55,23.67132797169983,23.1577400657334,2.169662414294838,17.284503424657537,17.03970343149666,severity,0.55,0.5,10.0
lucknow,66,24.82771362885313,24.13144218967625,2.8044122370080906,18.07221461187215,17.761215564162868,severity,0.55,0.5,10.0
lucknow,77,24.934455233255143,24.364440661185437,2.286051837657474,18.007562785388128,17.745839835766496,severity,0.55,0.5,10.0
gurugram,11,37.63755630202582,36.695727435398105,2.502364550636416,29.367124542124536,28.48320669404319,all_soft,0.55,0.5,300.0
gurugram,22,37.89285889434672,36.92620329942907,2.5510231297482373,29.68965773809525,28.731086009496213,all_soft,0.55,0.5,300.0
gurugram,33,36.68847074406741,36.004671963087404,1.863797446751244,28.366248855311355,27.780279869839674,all_soft,0.55,0.5,300.0
gurugram,44,37.0269870369924,36.34678279700805,1.8370499314588375,28.62370077838828,27.95539503377113,all_soft,0.55,0.5,300.0
gurugram,55,36.6012436648711,35.96114063325836,1.748855960944007,27.995346840659344,27.45622278832477,all_soft,0.55,0.5,300.0
gurugram,66,37.689270647782585,37.00783537813211,1.8080351727118655,29.19360119047619,28.56563109478781,all_soft,0.55,0.5,300.0
gurugram,77,37.21514884787329,36.58064040053521,1.704973557762185,28.94772779304029,28.32678537128631,all_soft,0.55,0.5,300.0
