City,Seed,Transition_days,Transition_RMSE_C1,Transition_RMSE_C3,Transition_RMSE_gain_pct,Transition_MAE_C1,Transition_MAE_C3,Transition_MAE_gain_pct,Boundary20_days,Boundary20_RMSE_C1,Boundary20_RMSE_C3,Boundary20_RMSE_gain_pct,Boundary20_MAE_C1,Boundary20_MAE_C3,Boundary20_MAE_gain_pct
delhi,22,129,28.797960604142457,27.778349064821043,3.540568560867977,20.713711240310072,19.925120661305293,3.8070945851081324,160,26.110330439995664,25.800304930069885,1.1873672400977506,18.130442708333337,18.045516657401425,0.4684168627216011
delhi,33,129,29.04902045166273,28.13911166499549,3.132321753090849,20.63330103359173,20.163614816433643,2.2763503347982117,160,25.544804108215097,25.38905635257361,0.6097042474144377,17.54294270833333,17.575160301963024,-0.1836498822651235
delhi,44,129,29.025495340780488,27.978058542986666,3.608678458355833,20.940891472868216,20.200997475297857,3.5332497593476035,160,25.3822608873153,25.028692651685503,1.3929737669920967,17.677265625,17.52632831843775,0.853849853049611
delhi,55,129,28.09803882142782,27.22881993077442,3.0935215663184494,20.520865633074926,19.98912770260823,2.5912061409810003,160,25.061079069670654,24.946070958321307,0.45891125050769205,17.289088541666665,17.319731877003893,-0.1772408953969862
delhi,66,129,28.70865875431553,27.80663335526066,3.1419977045053478,20.672335271317827,20.19735920945972,2.2976410532443383,160,25.643275329161934,25.602916230961274,0.15738667421615807,17.948177083333338,18.077592781580716,-0.7210520469376986
delhi,77,129,28.571456290673652,27.576221587423053,3.4833180819539304,21.151324289405682,20.356551064967544,3.7575577470401043,160,25.36808809686534,25.094284311202927,1.0793236944657474,18.241888020833333,18.054144601911307,1.0291885286633216
gurugram,11,145,45.67022206983501,44.548132899205605,2.456938284455033,36.50531609195402,34.8920759990023,4.41919223186041,186,36.685490241226134,34.02462895714843,7.253170849240831,29.702060931899634,26.42500889455974,11.033079640007013
gurugram,22,145,45.776336102388235,44.734576395305616,2.2757603508339073,36.666091954022995,35.31348159342823,3.688995168317519,186,37.79415095155361,35.173458769646835,6.934121063510878,30.6182347670251,27.646637813122414,9.705317685730876
gurugram,33,145,44.72653006526037,43.90835237901571,1.829289428558081,35.717586206896556,34.81512075423062,2.5266697683274097,186,35.433219615054455,33.84774614461171,4.474539676798451,28.299686379928318,26.451883019986703,6.529412853324685
gurugram,44,145,45.05262937048674,44.26299217676182,1.7526994645116099,36.003678160919534,35.17370292902183,2.30525122513346,186,36.00264171335387,34.41292958712562,4.415543000664321,28.61435931899641,26.7859695524173,6.389763077327701
gurugram,55,145,45.22437430964628,44.4375444495511,1.7398358122278152,35.58895114942529,34.757758032034026,2.3355369870311224,186,34.97966285757205,33.52369778958966,4.162318756217564,27.395631720430107,25.745076159195946,6.024885931005086
gurugram,66,145,45.68191883309486,44.910719496332426,1.688193833494863,36.320172413793095,35.55232975079422,2.114094212579438,186,36.89718421087132,35.25294470678277,4.456273667636938,29.87754256272401,28.0755584982024,6.031232524356973
gurugram,77,145,45.053732650030575,44.26859145171848,1.7426773590790685,36.264094827586206,35.285375887551695,2.698864937034074,186,36.47998305129987,34.72893059189147,4.800036384189068,29.791588261648744,27.87792319817909,6.423508027375466
hyderabad,11,59,13.779402721762889,13.779402721762889,0.0,9.752295197740118,9.752295197740118,0.0,257,7.770478904744143,7.474892788321227,3.803962664932419,5.863837548638133,5.710667984407148,2.6121044957420243
hyderabad,22,59,13.514884355761232,13.514884355761232,0.0,9.648411016949153,9.648411016949153,0.0,257,7.720556702828069,7.4138569380391575,3.972508416090851,5.887086575875487,5.731064937643538,2.6502351582751538
hyderabad,33,59,13.706667861473845,13.706667861473845,0.0,9.789795197740114,9.789795197740114,0.0,257,7.818162940025127,7.529828402973168,3.6880087977679388,5.8396157587548645,5.713051761932096,2.167334325602179
hyderabad,44,59,14.02760398524897,14.02760398524897,0.0,9.989371468926556,9.989371468926556,0.0,257,7.763819880271277,7.454036948119288,3.990083965486903,5.830763618677044,5.68610302374129,2.480988844623689
hyderabad,55,59,14.123149773408482,14.123149773408482,0.0,10.064265536723163,10.064265536723163,0.0,257,7.827149387875923,7.5332661111347266,3.754665487749791,5.87054961089494,5.722861301129269,2.515749283364917
hyderabad,66,59,13.555309983935935,13.555309983935935,0.0,9.614759887005647,9.614759887005647,0.0,257,7.8415096238414925,7.559097233640195,3.601505370122166,5.859038586251621,5.720938353395013,2.3570459696350854
hyderabad,77,59,13.612053139481976,13.612053139481976,0.0,9.797245762711867,9.797245762711867,0.0,257,7.8059188071436685,7.486780783519236,4.088410749704061,5.842550259403374,5.678052684795741,2.8155097911717504
